85071 Material Measurement Software E07.01.08
Agilent Technologies,N5230C,MY49001460,A.09.20.08
Title:,Title
Sub Title:,SubTitle
Date:,"Wednesday, April 27, 2016 14:06:26"

frequency,e',e'',u',u''
8538625000.0000,  14.0734,   0.5698,   0.9786,  -0.0035
8541250000.0000,  14.0771,   0.5639,   0.9788,  -0.0030
8543875000.0000,  14.0611,   0.5802,   0.9765,  -0.0021
8546500000.0000,  14.0623,   0.5842,   0.9802,   0.0038
8549125000.0000,  14.0721,   0.5651,   0.9806,  -0.0031
8551750000.0000,  14.0731,   0.5599,   0.9789,  -0.0022
8554375000.0000,  14.0719,   0.5801,   0.9768,   0.0021
8557000000.0000,  14.0579,   0.5630,   0.9798,  -0.0052
8559625000.0000,  14.0879,   0.5687,   0.9794,  -0.0028
8562250000.0000,  14.0761,   0.5800,   0.9778,  -0.0035
8564875000.0000,  14.0668,   0.5732,   0.9780,  -0.0049
8567500000.0000,  14.0730,   0.5689,   0.9790,  -0.0049
8570125000.0000,  14.0746,   0.5516,   0.9779,  -0.0109
8572750000.0000,  14.0669,   0.5691,   0.9795,  -0.0035
8575375000.0000,  14.0697,   0.5610,   0.9808,  -0.0004
8578000000.0000,  14.0768,   0.5598,   0.9788,  -0.0050
8580625000.0000,  14.0558,   0.5538,   0.9801,  -0.0093
8583250000.0000,  14.0727,   0.5748,   0.9804,  -0.0042
8585875000.0000,  14.0650,   0.5486,   0.9807,  -0.0055
8588500000.0000,  14.0655,   0.5586,   0.9795,  -0.0058
8591125000.0000,  14.0538,   0.5682,   0.9806,   0.0008
8593750000.0000,  14.0736,   0.5681,   0.9822,  -0.0015
8596375000.0000,  14.0644,   0.5535,   0.9782,  -0.0055
8599000000.0000,  14.0600,   0.5691,   0.9811,   0.0026
8601625000.0000,  14.0613,   0.5424,   0.9799,  -0.0057
8604250000.0000,  14.0561,   0.5599,   0.9811,   0.0019
8606875000.0000,  14.0572,   0.5560,   0.9812,  -0.0004
8609500000.0000,  14.0495,   0.5459,   0.9799,  -0.0040
8612125000.0000,  14.0570,   0.5571,   0.9804,   0.0017
8614750000.0000,  14.0559,   0.5680,   0.9812,  -0.0000
8617375000.0000,  14.0616,   0.5461,   0.9787,  -0.0047
8620000000.0000,  14.0661,   0.5489,   0.9834,  -0.0013
8622625000.0000,  14.0582,   0.5543,   0.9827,   0.0013
8625250000.0000,  14.0602,   0.5445,   0.9783,  -0.0031
8627875000.0000,  14.0597,   0.5472,   0.9803,  -0.0008
8630500000.0000,  14.0599,   0.5674,   0.9808,   0.0064
8633125000.0000,  14.0692,   0.5499,   0.9776,   0.0004
8635750000.0000,  14.0557,   0.5527,   0.9796,  -0.0004
8638375000.0000,  14.0754,   0.5355,   0.9818,  -0.0043
8641000000.0000,  14.0600,   0.5595,   0.9805,   0.0056
8643625000.0000,  14.0508,   0.5441,   0.9756,  -0.0010
8646250000.0000,  14.0587,   0.5395,   0.9762,  -0.0037
8648875000.0000,  14.0496,   0.5634,   0.9797,   0.0070
8651500000.0000,  14.0486,   0.5395,   0.9795,  -0.0019
8654125000.0000,  14.0667,   0.5409,   0.9800,  -0.0032
8656750000.0000,  14.0577,   0.5488,   0.9792,   0.0019
8659375000.0000,  14.0711,   0.5495,   0.9766,  -0.0021
8662000000.0000,  14.0533,   0.5391,   0.9784,  -0.0032
8664625000.0000,  14.0641,   0.5512,   0.9798,   0.0007
8667250000.0000,  14.0752,   0.5558,   0.9788,  -0.0016
8669875000.0000,  14.0621,   0.5433,   0.9792,  -0.0002
8672500000.0000,  14.0572,   0.5668,   0.9782,   0.0043
8675125000.0000,  14.0510,   0.5385,   0.9817,  -0.0039
8677750000.0000,  14.0633,   0.5476,   0.9794,   0.0015
8680375000.0000,  14.0607,   0.5383,   0.9792,  -0.0038
8683000000.0000,  14.0543,   0.5404,   0.9758,  -0.0004
8685625000.0000,  14.0510,   0.5331,   0.9778,  -0.0014
8688250000.0000,  14.0676,   0.5375,   0.9810,  -0.0060
8690875000.0000,  14.0520,   0.5443,   0.9799,   0.0017
8693500000.0000,  14.0593,   0.5466,   0.9777,  -0.0001
8696125000.0000,  14.0522,   0.5274,   0.9790,  -0.0054
8698750000.0000,  14.0656,   0.5379,   0.9767,  -0.0016
8701375000.0000,  14.0495,   0.5297,   0.9813,  -0.0027
8704000000.0000,  14.0729,   0.5287,   0.9779,  -0.0062
8706625000.0000,  14.0517,   0.5248,   0.9786,  -0.0001
8709250000.0000,  14.0539,   0.5248,   0.9775,   0.0002
8711875000.0000,  14.0623,   0.5139,   0.9788,  -0.0083
8714500000.0000,  14.0511,   0.5225,   0.9793,  -0.0027
8717125000.0000,  14.0599,   0.5327,   0.9778,   0.0021
8719750000.0000,  14.0632,   0.5284,   0.9768,   0.0003
8722375000.0000,  14.0536,   0.5158,   0.9799,  -0.0039
8725000000.0000,  14.0537,   0.5346,   0.9815,   0.0010
8727625000.0000,  14.0368,   0.5237,   0.9806,   0.0032
8730250000.0000,  14.0598,   0.5027,   0.9791,  -0.0063
8732875000.0000,  14.0635,   0.5292,   0.9813,   0.0010
8735500000.0000,  14.0444,   0.5249,   0.9794,   0.0041
8738125000.0000,  14.0656,   0.5301,   0.9823,   0.0007
8740750000.0000,  14.0476,   0.5096,   0.9813,  -0.0007
8743375000.0000,  14.0650,   0.5292,   0.9810,   0.0033
8746000000.0000,  14.0505,   0.5205,   0.9821,   0.0009
8748625000.0000,  14.0610,   0.5161,   0.9845,   0.0023
8751250000.0000,  14.0536,   0.5253,   0.9794,   0.0023
8753875000.0000,  14.0693,   0.5323,   0.9772,   0.0048
8756500000.0000,  14.0567,   0.5216,   0.9809,   0.0047
8759125000.0000,  14.0616,   0.5187,   0.9803,  -0.0019
8761750000.0000,  14.0583,   0.5244,   0.9798,   0.0018
8764375000.0000,  14.0542,   0.5165,   0.9796,   0.0025
8767000000.0000,  14.0745,   0.5195,   0.9816,   0.0005
8769625000.0000,  14.0656,   0.5196,   0.9789,  -0.0007
8772250000.0000,  14.0602,   0.5031,   0.9786,  -0.0014
8774875000.0000,  14.0619,   0.5228,   0.9789,   0.0024
8777500000.0000,  14.0581,   0.5392,   0.9811,   0.0067
8780125000.0000,  14.0654,   0.5178,   0.9799,   0.0001
8782750000.0000,  14.0500,   0.5369,   0.9813,   0.0071
8785375000.0000,  14.0720,   0.5417,   0.9785,   0.0053
8788000000.0000,  14.0713,   0.5137,   0.9798,   0.0006
8790625000.0000,  14.0603,   0.5404,   0.9797,   0.0063
8793250000.0000,  14.0634,   0.5175,   0.9820,   0.0016
8795875000.0000,  14.0747,   0.5147,   0.9789,   0.0014
8798500000.0000,  14.0676,   0.5168,   0.9773,  -0.0018
8801125000.0000,  14.0641,   0.5199,   0.9782,   0.0026
8803750000.0000,  14.0588,   0.5368,   0.9767,   0.0059
8806375000.0000,  14.0704,   0.5063,   0.9787,  -0.0052
8809000000.0000,  14.0637,   0.5301,   0.9776,   0.0005
8811625000.0000,  14.0677,   0.5225,   0.9786,  -0.0029
8814250000.0000,  14.0664,   0.5178,   0.9761,  -0.0071
8816875000.0000,  14.0752,   0.5169,   0.9785,  -0.0006
8819500000.0000,  14.0693,   0.5240,   0.9770,   0.0023
8822125000.0000,  14.0628,   0.5151,   0.9767,   0.0001
8824750000.0000,  14.0688,   0.5334,   0.9764,   0.0018
8827375000.0000,  14.0777,   0.5214,   0.9800,   0.0010
8830000000.0000,  14.0751,   0.5056,   0.9797,  -0.0022
8832625000.0000,  14.0561,   0.5226,   0.9781,   0.0011
8835250000.0000,  14.0636,   0.5210,   0.9755,   0.0006
8837875000.0000,  14.0684,   0.5113,   0.9784,  -0.0033
8840500000.0000,  14.0548,   0.5182,   0.9823,   0.0018
8843125000.0000,  14.0552,   0.5219,   0.9808,  -0.0018
8845750000.0000,  14.0835,   0.5077,   0.9777,  -0.0030
8848375000.0000,  14.0537,   0.5220,   0.9818,   0.0039
8851000000.0000,  14.0637,   0.5130,   0.9824,  -0.0011
8853625000.0000,  14.0565,   0.5152,   0.9800,  -0.0009
8856250000.0000,  14.0550,   0.5292,   0.9826,   0.0069
8858875000.0000,  14.0640,   0.4996,   0.9813,  -0.0030
8861500000.0000,  14.0542,   0.5264,   0.9815,   0.0065
8864125000.0000,  14.0454,   0.5284,   0.9830,   0.0049
8866750000.0000,  14.0516,   0.5012,   0.9837,  -0.0026
8869375000.0000,  14.0677,   0.5044,   0.9804,   0.0011
8872000000.0000,  14.0626,   0.5281,   0.9862,   0.0067
8874625000.0000,  14.0686,   0.5095,   0.9823,   0.0012
8877250000.0000,  14.0739,   0.5245,   0.9844,   0.0054
8879875000.0000,  14.0597,   0.5111,   0.9821,   0.0017
8882500000.0000,  14.0517,   0.4920,   0.9854,   0.0021
8885125000.0000,  14.0598,   0.4849,   0.9852,  -0.0017
8887750000.0000,  14.0654,   0.5124,   0.9836,   0.0079
8890375000.0000,  14.0683,   0.4949,   0.9851,   0.0000
8893000000.0000,  14.0786,   0.5035,   0.9842,   0.0020
8895625000.0000,  14.0694,   0.5131,   0.9842,   0.0074
8898250000.0000,  14.0785,   0.5231,   0.9849,   0.0065
8900875000.0000,  14.0670,   0.5167,   0.9870,   0.0069
8903500000.0000,  14.0764,   0.5018,   0.9843,   0.0058
8906125000.0000,  14.0892,   0.5157,   0.9809,   0.0015
8908750000.0000,  14.0834,   0.5115,   0.9842,   0.0035
8911375000.0000,  14.0630,   0.5029,   0.9862,   0.0015
8914000000.0000,  14.0839,   0.5280,   0.9885,   0.0060
8916625000.0000,  14.1002,   0.5120,   0.9827,   0.0031
8919250000.0000,  14.0720,   0.5149,   0.9860,   0.0039
8921875000.0000,  14.0989,   0.5309,   0.9814,   0.0029
8924500000.0000,  14.0834,   0.5228,   0.9830,   0.0049
8927125000.0000,  14.0761,   0.5218,   0.9812,   0.0049
8929750000.0000,  14.0854,   0.5055,   0.9840,  -0.0037
8932375000.0000,  14.0974,   0.5109,   0.9833,  -0.0006
8935000000.0000,  14.0813,   0.5261,   0.9816,   0.0053
8937625000.0000,  14.0938,   0.5211,   0.9800,   0.0018
8940250000.0000,  14.1028,   0.5255,   0.9821,   0.0020
8942875000.0000,  14.0855,   0.5285,   0.9822,   0.0022
8945500000.0000,  14.0778,   0.5293,   0.9824,   0.0037
8948125000.0000,  14.0850,   0.5200,   0.9830,   0.0027
8950750000.0000,  14.0949,   0.5172,   0.9817,   0.0010
8953375000.0000,  14.0972,   0.5182,   0.9811,   0.0002
8956000000.0000,  14.0986,   0.5106,   0.9821,   0.0012
8958625000.0000,  14.0951,   0.5484,   0.9847,   0.0058
8961250000.0000,  14.0715,   0.5241,   0.9807,   0.0021
8963875000.0000,  14.0863,   0.5066,   0.9780,  -0.0014
8966500000.0000,  14.0740,   0.5358,   0.9820,   0.0040
8969125000.0000,  14.0906,   0.5202,   0.9811,  -0.0001
8971750000.0000,  14.0768,   0.5100,   0.9832,  -0.0010
8974375000.0000,  14.0669,   0.5116,   0.9801,   0.0007
8977000000.0000,  14.0751,   0.5033,   0.9809,   0.0007
8979625000.0000,  14.0656,   0.5009,   0.9799,   0.0003
8982250000.0000,  14.0870,   0.5037,   0.9795,  -0.0008
8984875000.0000,  14.0797,   0.5329,   0.9809,   0.0095
8987500000.0000,  14.0819,   0.5149,   0.9808,   0.0040
8990125000.0000,  14.0664,   0.5217,   0.9819,   0.0084
8992750000.0000,  14.0628,   0.5214,   0.9819,   0.0082
8995375000.0000,  14.0689,   0.5122,   0.9773,   0.0030
8998000000.0000,  14.0653,   0.5209,   0.9816,   0.0063
9000625000.0000,  14.0550,   0.5168,   0.9824,   0.0093
9003250000.0000,  14.0680,   0.4942,   0.9832,   0.0005
9005875000.0000,  14.0713,   0.5138,   0.9810,   0.0067
9008500000.0000,  14.0659,   0.5043,   0.9842,   0.0049
9011125000.0000,  14.0684,   0.4892,   0.9796,   0.0032
9013750000.0000,  14.0722,   0.5269,   0.9814,   0.0100
9016375000.0000,  14.0637,   0.5153,   0.9809,   0.0064
9019000000.0000,  14.0637,   0.5101,   0.9809,   0.0071
9021625000.0000,  14.0728,   0.5033,   0.9813,   0.0083
9024250000.0000,  14.0923,   0.4987,   0.9804,   0.0057
9026875000.0000,  14.0546,   0.4983,   0.9821,   0.0035
9029500000.0000,  14.0975,   0.5180,   0.9821,   0.0072
9032125000.0000,  14.0680,   0.5198,   0.9832,   0.0098
9034750000.0000,  14.0691,   0.5094,   0.9821,   0.0069
9037375000.0000,  14.0875,   0.5100,   0.9788,   0.0022
9040000000.0000,  14.0796,   0.5229,   0.9801,   0.0075
9042625000.0000,  14.0731,   0.5054,   0.9803,   0.0045
9045250000.0000,  14.0754,   0.5358,   0.9861,   0.0097
9047875000.0000,  14.0810,   0.5110,   0.9827,   0.0032
9050500000.0000,  14.0640,   0.5086,   0.9855,   0.0014
9053125000.0000,  14.0859,   0.5120,   0.9802,   0.0060
9055750000.0000,  14.0695,   0.5203,   0.9832,   0.0029
9058375000.0000,  14.0843,   0.5331,   0.9822,   0.0082
9061000000.0000,  14.0834,   0.5146,   0.9796,   0.0012
9063625000.0000,  14.0910,   0.5052,   0.9824,   0.0036
9066250000.0000,  14.0793,   0.5219,   0.9828,   0.0062
9068875000.0000,  14.0828,   0.5204,   0.9809,   0.0021
9071500000.0000,  14.0891,   0.5343,   0.9818,   0.0077
9074125000.0000,  14.0906,   0.4998,   0.9821,  -0.0031
9076750000.0000,  14.0815,   0.5242,   0.9791,   0.0032
9079375000.0000,  14.0899,   0.5128,   0.9822,   0.0018
9082000000.0000,  14.0886,   0.5195,   0.9798,   0.0032
9084625000.0000,  14.0835,   0.5261,   0.9813,   0.0053
9087250000.0000,  14.1026,   0.5030,   0.9799,   0.0013
9089875000.0000,  14.0954,   0.5306,   0.9797,   0.0050
9092500000.0000,  14.1012,   0.5108,   0.9819,   0.0004
9095125000.0000,  14.0892,   0.5116,   0.9834,   0.0003
9097750000.0000,  14.0786,   0.5235,   0.9842,   0.0056
9100375000.0000,  14.0867,   0.5278,   0.9812,   0.0015
9103000000.0000,  14.0905,   0.5275,   0.9834,   0.0053
9105625000.0000,  14.0858,   0.5131,   0.9820,  -0.0005
9108250000.0000,  14.0904,   0.5255,   0.9809,   0.0027
9110875000.0000,  14.0888,   0.5134,   0.9810,   0.0001
9113500000.0000,  14.0821,   0.5195,   0.9844,   0.0042
9116125000.0000,  14.0924,   0.5078,   0.9798,  -0.0025
9118750000.0000,  14.0891,   0.5127,   0.9842,   0.0014
9121375000.0000,  14.0956,   0.5245,   0.9797,   0.0016
9124000000.0000,  14.0985,   0.5241,   0.9786,   0.0042
9126625000.0000,  14.0833,   0.5134,   0.9804,   0.0020
9129250000.0000,  14.0820,   0.5110,   0.9774,   0.0019
9131875000.0000,  14.0862,   0.5191,   0.9789,   0.0012
9134500000.0000,  14.0681,   0.5309,   0.9834,   0.0042
9137125000.0000,  14.0786,   0.5332,   0.9814,   0.0065
9139750000.0000,  14.0737,   0.5164,   0.9817,   0.0051
9142375000.0000,  14.0985,   0.5139,   0.9819,   0.0018
9145000000.0000,  14.0716,   0.5105,   0.9809,   0.0063
9147625000.0000,  14.0831,   0.5274,   0.9821,   0.0079
9150250000.0000,  14.0890,   0.5241,   0.9810,   0.0051
9152875000.0000,  14.0737,   0.5163,   0.9820,   0.0065
9155500000.0000,  14.0828,   0.5231,   0.9800,   0.0053
9158125000.0000,  14.0589,   0.5183,   0.9803,   0.0061
9160750000.0000,  14.0798,   0.5142,   0.9849,   0.0031
9163375000.0000,  14.0898,   0.5102,   0.9786,   0.0040
9166000000.0000,  14.0848,   0.5119,   0.9805,   0.0036
9168625000.0000,  14.0919,   0.5058,   0.9803,   0.0015
9171250000.0000,  14.0696,   0.5190,   0.9796,   0.0063
9173875000.0000,  14.0774,   0.4987,   0.9810,  -0.0005
9176500000.0000,  14.0914,   0.5056,   0.9790,   0.0011
9179125000.0000,  14.0711,   0.5129,   0.9832,   0.0015
9181750000.0000,  14.0994,   0.5030,   0.9814,   0.0009
9184375000.0000,  14.1050,   0.5047,   0.9818,   0.0014
9187000000.0000,  14.0805,   0.5022,   0.9815,   0.0016
9189625000.0000,  14.0898,   0.5153,   0.9814,   0.0047
9192250000.0000,  14.1069,   0.5227,   0.9812,   0.0064
9194875000.0000,  14.0920,   0.5325,   0.9823,   0.0047
9197500000.0000,  14.0925,   0.5153,   0.9830,   0.0049
9200125000.0000,  14.0973,   0.5099,   0.9855,   0.0006
9202750000.0000,  14.0952,   0.5083,   0.9812,   0.0015
9205375000.0000,  14.1054,   0.5074,   0.9793,   0.0017
9208000000.0000,  14.0957,   0.5181,   0.9830,   0.0045
9210625000.0000,  14.1099,   0.5099,   0.9825,   0.0034
9213250000.0000,  14.0849,   0.5231,   0.9828,   0.0034
9215875000.0000,  14.0825,   0.5189,   0.9824,   0.0034
9218500000.0000,  14.0994,   0.5140,   0.9826,   0.0027
9221125000.0000,  14.0918,   0.5274,   0.9847,   0.0051
9223750000.0000,  14.1032,   0.5184,   0.9838,   0.0045
9226375000.0000,  14.0964,   0.5236,   0.9812,   0.0034
9229000000.0000,  14.0918,   0.5098,   0.9810,   0.0012
9231625000.0000,  14.1007,   0.5278,   0.9840,   0.0052
9234250000.0000,  14.0883,   0.5282,   0.9845,   0.0055
9236875000.0000,  14.0877,   0.5183,   0.9826,   0.0014
9239500000.0000,  14.0812,   0.5249,   0.9837,   0.0045
9242125000.0000,  14.0861,   0.5471,   0.9818,   0.0106
9244750000.0000,  14.1101,   0.5192,   0.9833,   0.0027
9247375000.0000,  14.0742,   0.5141,   0.9816,   0.0041
9250000000.0000,  14.0856,   0.5194,   0.9831,   0.0021
9252625000.0000,  14.0861,   0.5098,   0.9827,   0.0018
9255250000.0000,  14.0907,   0.5276,   0.9827,   0.0053
9257875000.0000,  14.0810,   0.5347,   0.9834,   0.0057
9260500000.0000,  14.0762,   0.5251,   0.9799,   0.0043
9263125000.0000,  14.1043,   0.5056,   0.9827,   0.0028
9265750000.0000,  14.0780,   0.5241,   0.9817,   0.0069
9268375000.0000,  14.0771,   0.5089,   0.9830,   0.0053
9271000000.0000,  14.0878,   0.5094,   0.9790,   0.0033
9273625000.0000,  14.0771,   0.5109,   0.9819,   0.0039
9276250000.0000,  14.0674,   0.5030,   0.9832,   0.0026
9278875000.0000,  14.0873,   0.5069,   0.9834,  -0.0007
9281500000.0000,  14.0865,   0.5139,   0.9829,   0.0048
9284125000.0000,  14.0823,   0.5089,   0.9811,   0.0028
9286750000.0000,  14.0933,   0.5264,   0.9846,   0.0086
9289375000.0000,  14.0844,   0.5095,   0.9827,   0.0024
9292000000.0000,  14.1002,   0.5241,   0.9837,   0.0056
9294625000.0000,  14.0877,   0.5220,   0.9853,   0.0065
9297250000.0000,  14.0762,   0.5311,   0.9838,   0.0096
9299875000.0000,  14.0966,   0.5120,   0.9856,   0.0044
9302500000.0000,  14.0826,   0.5242,   0.9815,   0.0060
9305125000.0000,  14.0833,   0.5185,   0.9835,   0.0055
9307750000.0000,  14.1072,   0.5154,   0.9825,   0.0020
9310375000.0000,  14.1047,   0.5231,   0.9820,   0.0035
