Freq (GHZ)	RL(dB)
15.54	-12.76
15.55	-13.26
15.55	-12.72
15.55	-12.51
15.56	-13.81
15.56	-13.0
15.56	-13.36
15.57	-13.02
15.57	-13.43
15.57	-12.61
15.58	-12.81
15.58	-13.58
15.59	-12.77
15.59	-13.21
15.59	-12.78
15.6	-13.33
15.6	-13.11
15.6	-12.68
15.61	-13.4
15.61	-13.01
15.61	-13.07
15.62	-13.07
15.62	-12.83
15.62	-12.53
15.63	-12.72
15.63	-12.88
15.63	-12.66
15.64	-12.9
15.64	-13.44
15.64	-12.7
15.65	-12.86
15.65	-12.78
15.65	-12.53
15.66	-12.05
15.66	-13.41
15.67	-13.08
15.67	-13.14
15.67	-13.05
15.68	-13.5
15.68	-12.61
15.68	-13.37
15.69	-12.29
15.69	-13.5
15.69	-13.17
15.7	-12.92
15.7	-13.36
15.7	-12.79
15.71	-13.08
15.71	-13.46
15.71	-12.68
15.72	-12.74
15.72	-13.26
15.72	-12.84
15.73	-12.96
15.73	-12.92
15.74	-13.17
15.74	-13.03
15.74	-13.02
15.75	-13.61
15.75	-13.23
15.75	-13.42
15.76	-13.64
15.76	-13.21
15.76	-13.22
15.77	-12.88
15.77	-12.74
15.77	-13.04
15.78	-13.57
15.78	-13.17
15.78	-12.7
15.79	-12.81
15.79	-13.2
15.79	-13.59
15.8	-13.33
15.8	-12.93
15.81	-13.31
15.81	-12.8
15.81	-12.58
15.82	-12.44
15.82	-12.43
15.82	-13.29
15.83	-12.53
15.83	-13.28
15.83	-13.41
15.84	-13.28
15.84	-12.84
15.84	-13.78
15.85	-12.6
15.85	-13.37
15.85	-13.59
15.86	-13.39
15.86	-13.38
15.87	-13.43
15.87	-13.47
15.87	-12.74
15.88	-13.12
15.88	-13.32
15.88	-13.04
15.89	-13.79
15.89	-13.5
15.89	-13.6
15.9	-13.27
15.9	-13.88
15.9	-14.06
15.91	-12.74
15.91	-13.59
15.91	-13.15
15.92	-12.9
15.92	-13.18
15.92	-13.28
15.93	-13.03
15.93	-13.1
15.94	-13.63
15.94	-13.65
15.94	-13.55
15.95	-13.18
15.95	-13.45
15.95	-12.71
15.96	-13.23
15.96	-13.13
15.96	-12.88
15.97	-12.54
15.97	-12.68
15.97	-13.35
15.98	-13.22
15.98	-13.57
15.98	-13.67
15.99	-13.18
15.99	-13.26
15.99	-13.06
16.0	-12.66
16.0	-12.66
16.0	-13.41
16.01	-13.59
16.01	-13.84
16.02	-12.83
16.02	-13.09
16.02	-13.18
16.03	-13.55
16.03	-12.99
16.03	-12.79
16.04	-13.42
16.04	-13.03
16.04	-12.84
16.05	-13.88
16.05	-13.13
16.05	-13.17
16.06	-13.14
16.06	-12.95
16.06	-12.79
16.07	-13.78
16.07	-13.19
16.07	-13.37
16.08	-13.4
16.08	-12.88
16.09	-12.54
16.09	-12.59
16.09	-13.62
16.1	-12.86
16.1	-13.36
16.1	-13.11
16.11	-12.65
16.11	-13.32
16.11	-12.95
16.12	-13.79
16.12	-13.11
16.12	-12.41
16.13	-13.04
16.13	-12.49
16.13	-13.32
16.14	-13.17
16.14	-12.98
16.14	-12.72
16.15	-13.01
16.15	-12.96
16.16	-12.98
16.16	-13.23
16.16	-12.69
16.17	-12.69
16.17	-13.13
16.17	-13.22
16.18	-13.58
16.18	-13.05
16.18	-12.99
16.19	-13.56
16.19	-13.38
16.19	-12.96
16.2	-12.65
16.2	-13.45
16.2	-13.2
16.21	-13.27
16.21	-12.92
16.21	-12.89
16.22	-12.13
16.22	-13.29
16.23	-13.11
16.23	-12.69
16.23	-12.67
16.24	-13.06
16.24	-12.87
16.24	-13.21
16.25	-13.21
16.25	-12.99
16.25	-12.71
16.26	-12.35
16.26	-12.67
16.26	-12.33
16.27	-12.19
16.27	-12.94
16.27	-13.6
16.28	-13.94
16.28	-13.04
16.29	-12.8
16.29	-12.33
16.29	-13.09
16.3	-13.3
16.3	-13.47
16.3	-12.23
16.31	-12.57
16.31	-12.96
16.31	-12.47
16.32	-12.52
16.32	-13.11
16.32	-13.09
16.33	-12.88
16.33	-13.87
16.33	-12.66
16.34	-12.78
16.34	-12.94
16.34	-12.64
16.35	-12.97
16.35	-12.78
16.36	-12.99
16.36	-13.26
16.36	-13.45
16.37	-13.51
16.37	-12.66
16.37	-13.39
16.38	-12.92
16.38	-12.75
16.38	-13.23
16.39	-13.25
16.39	-12.86
16.39	-13.26
16.4	-12.69
16.4	-12.99
16.4	-12.93
16.41	-12.74
16.41	-12.51
16.41	-12.98
16.42	-13.18
16.42	-13.34
16.43	-12.4
16.43	-12.74
16.43	-12.93
16.44	-12.46
16.44	-12.89
16.44	-12.24
16.45	-12.85
16.45	-12.49
16.45	-13.58
16.46	-12.92
16.46	-12.59
16.46	-13.15
16.47	-12.71
16.47	-13.03
16.47	-12.93
16.48	-12.8
16.48	-13.45
16.48	-13.09
16.49	-13.02
16.49	-12.67
16.5	-12.89
16.5	-13.14
16.5	-12.77
16.51	-13.36
16.51	-13.38
16.51	-13.12
16.52	-13.18
16.52	-12.93
16.52	-13.06
16.53	-12.77
16.53	-13.55
16.53	-13.57
16.54	-13.1
16.54	-13.1
16.54	-13.21
16.55	-12.7
16.55	-13.0
16.55	-13.16
16.56	-12.72
16.56	-12.95
16.57	-13.03
16.57	-12.28
16.57	-12.43
16.58	-13.37
16.58	-12.86
16.58	-13.0
16.59	-12.73
16.59	-13.25
16.59	-12.77
16.6	-12.98
16.6	-13.12
16.6	-12.76
16.61	-13.21
16.61	-13.52
16.61	-12.67
16.62	-13.03
16.62	-13.03
16.62	-12.42
16.63	-12.8
16.63	-13.36
16.64	-12.98
16.64	-12.85
16.64	-13.08
16.65	-13.27
16.65	-12.94
16.65	-13.11
16.66	-13.45
16.66	-12.55
16.66	-12.84
16.67	-13.2
16.67	-12.54
16.67	-12.58
16.68	-12.83
16.68	-12.87
16.68	-12.81
16.69	-12.46
16.69	-13.28
16.69	-13.16
16.7	-13.25
16.7	-13.21
16.7	-12.92
16.71	-13.27
16.71	-13.03
16.72	-12.12
16.72	-13.17
16.72	-12.84
16.73	-13.06
16.73	-12.93
16.73	-12.68
16.74	-12.65
16.74	-12.7
16.74	-13.07
16.75	-12.64
16.75	-13.11
16.75	-13.02
16.76	-12.55
16.76	-12.69
16.76	-12.5
16.77	-13.26
16.77	-12.8
16.77	-13.09
16.78	-12.79
16.78	-12.73
16.79	-12.93
16.79	-13.0
16.79	-12.73
16.8	-12.67
16.8	-13.45
16.8	-12.35
16.81	-12.84
16.81	-12.87
16.81	-12.39
16.82	-12.96
16.82	-12.9
16.82	-12.96
16.83	-13.02
16.83	-13.27
16.83	-13.24
16.84	-12.7
16.84	-12.94
16.84	-13.47
16.85	-13.21
16.85	-12.59
16.86	-13.86
16.86	-12.67
16.86	-12.96
16.87	-12.83
16.87	-12.61
16.87	-12.61
16.88	-12.93
16.88	-12.4
16.88	-13.11
16.89	-13.3
16.89	-12.71
16.89	-13.42
16.9	-12.65
16.9	-12.91
16.9	-12.67
16.91	-12.59
16.91	-12.7
16.91	-12.59
16.92	-12.94
16.92	-12.92
16.93	-12.64
16.93	-12.72
16.93	-13.08
16.94	-12.99
16.94	-12.97
16.94	-12.74
16.95	-12.83
16.95	-13.17
16.95	-13.02
16.96	-12.89
16.96	-12.65
16.96	-13.2
16.97	-13.07
16.97	-12.77
16.97	-13.3
16.98	-12.62
16.98	-12.27
16.98	-12.84
16.99	-12.99
16.99	-12.84
17.0	-12.74
17.0	-12.62
17.0	-13.19
17.01	-13.37
17.01	-12.99
17.01	-13.03
17.02	-12.33
17.02	-12.32
17.02	-12.47
17.03	-13.03
17.03	-13.32
17.03	-12.61
17.04	-12.75
17.04	-12.82
17.04	-13.35
17.05	-12.48
17.05	-12.86
17.05	-12.71
17.06	-13.07
17.06	-13.03
17.07	-12.78
17.07	-13.01
17.07	-12.99
17.08	-12.5
17.08	-12.7
17.08	-12.64
17.09	-12.13
17.09	-12.48
17.09	-12.77
17.1	-12.69
17.1	-12.94
17.1	-13.07
17.11	-12.13
17.11	-12.79
17.11	-12.18
17.12	-12.06
17.12	-13.06
17.13	-12.78
17.13	-13.11
17.13	-13.06
17.14	-12.53
17.14	-12.78
17.14	-12.49
17.15	-12.52
17.15	-12.53
17.15	-12.73
17.16	-12.74
17.16	-12.34
17.16	-12.32
17.17	-12.81
17.17	-12.78
17.17	-12.53
17.18	-12.28
17.18	-12.93
17.18	-12.89
17.19	-12.27
17.19	-12.58
17.2	-12.44
17.2	-12.23
17.2	-12.55
17.21	-12.52
17.21	-12.55
17.21	-12.07
17.22	-12.38
17.22	-12.96
17.22	-12.35
17.23	-12.32
17.23	-12.13
17.23	-12.01
17.24	-11.97
17.24	-12.14
17.24	-12.36
17.25	-12.01
17.25	-12.43
17.25	-12.45
17.26	-12.71
17.26	-12.64
17.27	-12.5
17.27	-12.11
17.27	-12.36
17.28	-12.57
17.28	-12.98
17.28	-12.41
17.29	-12.66
17.29	-12.55
17.29	-12.12
17.3	-11.93
17.3	-12.42
17.3	-12.43
17.31	-12.57
17.31	-12.52
17.31	-12.75
17.32	-12.2
17.32	-12.55
17.32	-12.31
17.33	-11.89
17.33	-12.37
17.34	-12.67
17.34	-12.79
17.34	-12.46
17.35	-12.43
17.35	-12.22
17.35	-12.64
17.36	-12.64
17.36	-12.61
17.36	-12.69
17.37	-12.14
17.37	-12.15
17.37	-12.69
17.38	-12.12
17.38	-13.26
17.38	-12.32
17.39	-12.67
17.39	-12.52
17.39	-12.47
17.4	-12.41
17.4	-12.03
17.41	-12.33
17.41	-12.73
17.41	-12.61
17.42	-12.44
17.42	-12.5
17.42	-12.41
17.43	-12.42
17.43	-12.93
17.43	-12.21
17.44	-11.83
17.44	-12.13
17.44	-12.24
17.45	-12.03
17.45	-12.63
17.45	-11.96
17.46	-12.16
17.46	-12.27
17.46	-12.8
17.47	-12.34
17.47	-11.92
17.48	-12.59
17.48	-11.89
17.48	-12.44
17.49	-12.55
17.49	-11.96
17.49	-12.23
17.5	-12.43
17.5	-12.65
17.5	-12.64
17.51	-12.5
17.51	-12.35
17.51	-12.49
17.52	-12.52
17.52	-11.96
17.52	-12.48
17.53	-12.11
17.53	-12.35
17.53	-12.18
17.54	-12.45
17.54	-12.21
17.55	-12.14
17.55	-12.15
17.55	-12.0
17.56	-12.77
17.56	-12.21
17.56	-11.92
17.57	-12.4
17.57	-12.06
17.57	-12.32
17.58	-12.07
17.58	-12.09
17.58	-12.31
17.59	-11.68
17.59	-11.97
17.59	-12.16
17.6	-11.87
17.6	-12.22
17.6	-12.22
17.61	-12.2
17.61	-12.63
17.61	-12.19
17.62	-12.0
17.62	-12.54
17.63	-12.08
17.63	-11.68
17.63	-11.85
17.64	-11.38
17.64	-12.42
17.64	-12.08
17.65	-12.13
17.65	-11.64
17.65	-11.97
17.66	-12.42
17.66	-12.23
17.66	-11.59
17.67	-12.46
17.67	-12.14
17.67	-11.72
17.68	-11.82
17.68	-11.84
17.68	-11.97
17.69	-12.09
17.69	-11.86
17.7	-11.96
17.7	-11.61
17.7	-11.81
17.71	-11.98
17.71	-12.11
17.71	-12.13
17.72	-12.61
17.72	-12.12
17.72	-11.49
17.73	-11.87
17.73	-12.19
17.73	-11.8
17.74	-11.95
17.74	-12.08
17.74	-11.92
17.75	-11.97
17.75	-11.59
17.75	-12.05
17.76	-11.96
17.76	-12.5
17.77	-11.96
17.77	-11.99
17.77	-12.21
17.78	-12.07
17.78	-12.43
17.78	-11.61
17.79	-11.6
17.79	-11.93
17.79	-11.84
17.8	-12.01
17.8	-11.28
17.8	-11.66
17.81	-12.17
17.81	-11.29
17.81	-11.81
17.82	-11.88
17.82	-11.78
17.82	-11.65
